time,body,x,y,z,vx,vy,vz
60,2,-1.332875,0.282960,0.000000,-1.280634,-1.027582,0.000000
60,3,0.421377,-1.295747,0.000000,1.530249,-0.595229,0.000000
61,1,0.908980,1.028992,0.000000,-0.251696,1.620500,0.000000
61,2,-1.345650,0.272677,0.000000,-1.277592,-1.028228,0.000000
61,3,0.436670,-1.301669,0.000000,1.529287,-0.592272,0.000000
62,1,0.906443,1.045174,0.000000,-0.253723,1.618205,0.000000
62,2,-1.358396,0.262389,0.000000,-1.274590,-1.028836,0.000000
62,3,0.451953,-1.307563,0.000000,1.528313,-0.589368,0.000000
63,1,0.903886,1.061333,0.000000,-0.255700,1.615926,0.000000
63,2,-1.371113,0.252095,0.000000,-1.271628,-1.029408,0.000000
63,3,0.467227,-1.313428,0.000000,1.527328,-0.586517,0.000000
64,1,0.901310,1.077470,0.000000,-0.257626,1.613664,0.000000
64,2,-1.383800,0.241795,0.000000,-1.268707,-1.029946,0.000000
64,3,0.482490,-1.319265,0.000000,1.526332,-0.583718,0.000000
65,1,0.898715,1.093584,0.000000,-0.259503,1.611420,0.000000
65,2,-1.396458,0.231491,0.000000,-1.265825,-1.030449,0.000000
65,3,0.497743,-1.325075,0.000000,1.525327,-0.580970,0.000000
66,1,0.896101,1.109676,0.000000,-0.261332,1.609193,0.000000
66,2,-1.409088,0.221182,0.000000,-1.262982,-1.030921,0.000000
66,3,0.512986,-1.330858,0.000000,1.524314,-0.578273,0.000000
67,1,0.893470,1.125746,0.000000,-0.263115,1.606985,0.000000
67,2,-1.421690,0.210868,0.000000,-1.260178,-1.031361,0.000000
67,3,0.528219,-1.336614,0.000000,1.523293,-0.575625,0.000000
68,1,0.890822,1.141794,0.000000,-0.264853,1.604796,0.000000
68,2,-1.434264,0.200550,0.000000,-1.257413,-1.031771,0.000000
68,3,0.543442,-1.342344,0.000000,1.522266,-0.573025,0.000000
69,1,0.888156,1.157820,0.000000,-0.266546,1.602626,0.000000
69,2,-1.446811,0.190229,0.000000,-1.254687,-1.032152,0.000000
69,3,0.558654,-1.348049,0.000000,1.521233,-0.570474,0.000000
70,1,0.885474,1.173825,0.000000,-0.268196,1.600474,0.000000
70,2,-1.459331,0.179904,0.000000,-1.251999,-1.032506,0.000000
70,3,0.573856,-1.353729,0.000000,1.520195,-0.567969,0.000000
71,1,0.882776,1.189808,0.000000,-0.269804,1.598342,0.000000
71,2,-1.471824,0.169576,0.000000,-1.249349,-1.032832,0.000000
71,3,0.589048,-1.359384,0.000000,1.519153,-0.565510,0.000000
72,1,0.880062,1.205771,0.000000,-0.271372,1.596230,0.000000
72,2,-1.484291,0.159244,0.000000,-1.246735,-1.033133,0.000000
72,3,0.604229,-1.365015,0.000000,1.518107,-0.563096,0.000000
73,1,0.877333,1.221712,0.000000,-0.272899,1.594137,0.000000
73,2,-1.496733,0.148910,0.000000,-1.244159,-1.033410,0.000000
73,3,0.619400,-1.370622,0.000000,1.517059,-0.560727,0.000000
74,1,0.874590,1.237633,0.000000,-0.274388,1.592064,0.000000
74,2,-1.509149,0.138573,0.000000,-1.241620,-1.033662,0.000000
74,3,0.634560,-1.376206,0.000000,1.516008,-0.558402,0.000000
75,1,0.871831,1.253533,0.000000,-0.275838,1.590011,0.000000
75,2,-1.521540,0.128235,0.000000,-1.239117,-1.033892,0.000000
75,3,0.649709,-1.381767,0.000000,1.514955,-0.556119,0.000000
76,1,0.869059,1.269412,0.000000,-0.277252,1.587978,0.000000
76,2,-1.533907,0.117894,0.000000,-1.236649,-1.034100,0.000000
76,3,0.664848,-1.387306,0.000000,1.513901,-0.553878,0.000000
77,1,0.866272,1.285272,0.000000,-0.278630,1.585965,0.000000
77,2,-1.546249,0.107551,0.000000,-1.234217,-1.034287,0.000000
77,3,0.679977,-1.392823,0.000000,1.512847,-0.551678,0.000000
78,1,0.863473,1.301112,0.000000,-0.279973,1.583972,0.000000
78,2,-1.558567,0.097206,0.000000,-1.231819,-1.034454,0.000000
78,3,0.695095,-1.398318,0.000000,1.511793,-0.549518,0.000000
79,1,0.860660,1.316932,0.000000,-0.281283,1.581999,0.000000
79,2,-1.570862,0.086860,0.000000,-1.229456,-1.034601,0.000000
79,3,0.710202,-1.403792,0.000000,1.510739,-0.547398,0.000000
80,1,0.857834,1.332732,0.000000,-0.282559,1.580047,0.000000
80,2,-1.583133,0.076513,0.000000,-1.227127,-1.034730,0.000000
80,3,0.725299,-1.409245,0.000000,1.509686,-0.545317,0.000000
81,1,0.854996,1.348513,0.000000,-0.283803,1.578114,0.000000
81,2,-1.595381,0.066164,0.000000,-1.224832,-1.034841,0.000000
81,3,0.740385,-1.414678,0.000000,1.508634,-0.543273,0.000000
82,1,0.852146,1.364275,0.000000,-0.285015,1.576202,0.000000
82,2,-1.607607,0.055815,0.000000,-1.222569,-1.034935,0.000000
82,3,0.755461,-1.420091,0.000000,1.507584,-0.541267,0.000000
83,1,0.849284,1.380019,0.000000,-0.286197,1.574309,0.000000
83,2,-1.619810,0.045465,0.000000,-1.220339,-1.035012,0.000000
83,3,0.770526,-1.425484,0.000000,1.506536,-0.539297,0.000000
84,1,0.846411,1.395743,0.000000,-0.287350,1.572436,0.000000
84,2,-1.631992,0.035114,0.000000,-1.218141,-1.035074,0.000000
84,3,0.785581,-1.430857,0.000000,1.505491,-0.537362,0.000000
85,1,0.843526,1.411449,0.000000,-0.288473,1.570584,0.000000
85,2,-1.644152,0.024763,0.000000,-1.215975,-1.035121,0.000000
85,3,0.800626,-1.436212,0.000000,1.504448,-0.535463,0.000000
86,1,0.840630,1.427136,0.000000,-0.289568,1.568751,0.000000
86,2,-1.656290,0.014411,0.000000,-1.213840,-1.035153,0.000000
86,3,0.815660,-1.441548,0.000000,1.503408,-0.533598,0.000000
87,1,0.837724,1.442806,0.000000,-0.290637,1.566937,0.000000
87,2,-1.668407,0.004060,0.000000,-1.211735,-1.035171,0.000000
87,3,0.830684,-1.446865,0.000000,1.502372,-0.531766,0.000000
88,1,0.834807,1.458457,0.000000,-0.291678,1.565144,0.000000
88,2,-1.680504,-0.006292,0.000000,-1.209661,-1.035176,0.000000
88,3,0.845697,-1.452165,0.000000,1.501339,-0.529967,0.000000
89,1,0.831880,1.474091,0.000000,-0.292694,1.563369,0.000000
89,2,-1.692580,-0.016644,0.000000,-1.207617,-1.035169,0.000000
89,3,0.860700,-1.457447,0.000000,1.500310,-0.528201,0.000000
90,1,0.828943,1.489707,0.000000,-0.293684,1.561614,0.000000
90,2,-1.704636,-0.026995,0.000000,-1.205602,-1.035149,0.000000
90,3,0.875693,-1.462712,0.000000,1.499286,-0.526465,0.000000
91,1,0.825997,1.505306,0.000000,-0.294650,1.559878,0.000000
